subset,metric,direction,rank,source_index,target_energy,max_target_atomic_force,h_planarity_ratio,in_high_force,in_high_energy,in_planar,l3n4_median_error,l3n5_median_error,l3n5_minus_l3n4
high_force,force_rmse,largest_l3n5_regression,20,3458472,-82.24884796142578,218.373185765962,0.14975455797920398,True,False,False,4.3065746201866455,6.782627932663538,2.4760533124768926
high_force,force_rmse,largest_l3n5_regression,21,5830229,220.7915802001953,1528.4029616681337,0.1569701637404983,True,True,False,16.567670564331564,19.03332724418796,2.4656566798563944
high_force,force_rmse,largest_l3n5_regression,22,5376075,9.756661415100098,645.5256703998222,0.11410940214648108,True,False,False,9.601081250490427,11.98927732322817,2.3881960727377436
high_force,force_rmse,largest_l3n5_regression,23,4306043,181.05482482910156,649.7699998825456,0.15670404129821106,True,True,False,9.166438196416195,11.552420932051207,2.3859827356350127
high_force,force_rmse,largest_l3n5_regression,24,6451712,37.412681579589844,747.2913094934977,0.0465887598508663,True,False,False,3.536618611767082,5.833254134915631,2.2966355231485487
high_force,force_rmse,largest_l3n5_regression,25,5068323,530.708740234375,3891.863141878907,0.09030221287737282,True,True,False,2.4281824967328625,4.71792729987782,2.2897448031449574
high_energy,energy_abs_error,largest_l3n5_improvement,1,6266598,1055.802978515625,4476.731168443207,0.05688926283028245,True,True,False,8.67425537109375,3.349853515625,-5.32440185546875
high_energy,energy_abs_error,largest_l3n5_improvement,2,5298929,105.52440643310547,933.7216327752874,0.1535938680163787,True,True,False,5.142494201660156,1.504302978515625,-3.6381912231445312
high_energy,energy_abs_error,largest_l3n5_improvement,3,5274332,163.07957458496094,1731.691037888597,0.05944082543103967,True,True,False,2.7522430419921875,0.4870147705078125,-2.265228271484375
high_energy,energy_abs_error,largest_l3n5_improvement,4,5619249,587.6139526367188,2381.2842903827395,0.049895034035827776,True,True,False,3.19708251953125,1.05853271484375,-2.1385498046875
